"Wetland","Payment","Covercrop","NuMgt","asc","dfl08to18","taxcost","income_1","income_2","income_3","income_4","income_5","income_6","areaf_1","areaf_2","areaf_3","areaf_4","lake1000"
0.25,164.0625,0.25,0.25,1,0.511866524,885,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0
0.25,164.0625,0.25,0.25,1,0.568376068,439,0,0.25,0,0.25,0.25,0.25,0,0.5,0.25,0.25,17.858
0.25,164.0625,0.25,0.25,1,0.597152583,478,0,0.192307692307692,0.307692307692308,0.115384615384615,0.0769230769230769,0.0769230769230769,0.192307692307692,0.730769230769231,0.0769230769230769,0,5.253
0.25,164.0625,0.25,0.25,1,0.473061071,394,0,0.0967741935483871,0.193548387096774,0.129032258064516,0.193548387096774,0.032258064516129,0.161290322580645,0.645161290322581,0.0967741935483871,0.032258064516129,2.004
0.25,164.0625,0.25,0.25,1,0.428145138,858,0,0.166666666666667,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,5.422
0.25,164.0625,0.25,0.25,1,0.575888908,427,0,0,0.181818181818182,0.181818181818182,0.181818181818182,0.272727272727273,0,0.818181818181818,0.0909090909090909,0.0909090909090909,5.668
0.25,164.0625,0.25,0.25,1,0.487624918,415,0,0.0909090909090909,0.181818181818182,0.181818181818182,0.0909090909090909,0.0909090909090909,0.181818181818182,0.454545454545455,0.272727272727273,0.0909090909090909,1.242
0.25,164.0625,0.25,0.25,1,0.54005066,866,0.0909090909090909,0.0909090909090909,0.454545454545455,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0.454545454545455,0.0909090909090909,0.0909090909090909,0.833
0.25,164.0625,0.25,0.25,1,0.477512787,459,0.2,0.3,0,0.1,0,0.1,0,0.7,0.2,0,10.017
0.25,164.0625,0.25,0.25,1,0.490212387,445,0.0769230769230769,0,0.0769230769230769,0.230769230769231,0.230769230769231,0.153846153846154,0.0769230769230769,0.692307692307692,0.0769230769230769,0.0769230769230769,0.199
0.25,164.0625,0.25,0.25,1,0.585108401,448,0,0.222222222222222,0.166666666666667,0.222222222222222,0,0.111111111111111,0.222222222222222,0.555555555555556,0.111111111111111,0.0555555555555556,2.003
0.25,164.0625,0.25,0.25,1,0.492542992,629,0,0,0,1,0,0,0,1,0,0,0
0.25,164.0625,0.25,0.25,1,0.563708026,504,0.0833333333333333,0.166666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.25,0.0833333333333333,0.333333333333333,0.25,0.25,6.178
0.25,164.0625,0.25,0.25,1,0.666003954,860,0.181818181818182,0,0.272727272727273,0.0909090909090909,0,0.181818181818182,0.454545454545455,0.363636363636364,0,0.0909090909090909,1.071
0.25,164.0625,0.25,0.25,1,0.479507276,428,0,0.2,0.2,0,0.1,0.3,0.1,0.5,0.3,0,0.081
0.25,164.0625,0.25,0.25,1,0.515466703,437,0,0.1,0.1,0.3,0.2,0.1,0.2,0.4,0.3,0.1,9.834
0.25,164.0625,0.25,0.25,1,0.588319113,433,0,0,0.181818181818182,0.272727272727273,0.272727272727273,0.0909090909090909,0,0.545454545454545,0.363636363636364,0.0909090909090909,0.004
0.25,164.0625,0.25,0.25,1,0.504071303,579,0,0.25,0.0833333333333333,0,0.166666666666667,0.25,0.25,0.5,0.166666666666667,0,5.867
0.25,164.0625,0.25,0.25,1,0.52325088,474,0,0,0.2,0.2,0.2,0.2,0,0.4,0.2,0,6.257
0.25,164.0625,0.25,0.25,1,0.513802024,385,0,0,0.111111111111111,0.222222222222222,0.222222222222222,0,0.222222222222222,0.333333333333333,0.222222222222222,0.222222222222222,1.492
0.25,164.0625,0.25,0.25,1,0.431475543,417,0,0.235294117647059,0.176470588235294,0.352941176470588,0,0.0588235294117647,0.176470588235294,0.470588235294118,0.176470588235294,0.0588235294117647,2.503
0.25,164.0625,0.25,0.25,1,0.455309006,508,0,0.125,0.5,0,0,0,0.25,0.625,0,0.125,0
0.25,164.0625,0.25,0.25,1,0.477630757,556,0,0,0,0,0,0,0,1,0,0,0
0.25,164.0625,0.25,0.25,1,0.503379298,464,0,0.0555555555555556,0.222222222222222,0.0555555555555556,0.111111111111111,0.333333333333333,0.333333333333333,0.5,0.166666666666667,0,0
0.25,164.0625,0.25,0.25,1,0.601670627,482,0,0.142857142857143,0.214285714285714,0.357142857142857,0.142857142857143,0,0.142857142857143,0.428571428571429,0.142857142857143,0.142857142857143,0
0.25,164.0625,0.25,0.25,1,0.489543568,416,0,0,0.5,0,0.5,0,0,1,0,0,0
0.25,164.0625,0.25,0.25,1,0.462804608,476,0,0.266666666666667,0.333333333333333,0,0.133333333333333,0.133333333333333,0.2,0.6,0.0666666666666667,0.133333333333333,7.871
0.25,164.0625,0.25,0.25,1,0.400032592,454,0,0,0.5,0,0.5,0,0,0.75,0.25,0,0
0.25,164.0625,0.25,0.25,1,0.552550845,444,0,0,0.2,0.4,0,0.2,0,0.6,0.4,0,21.03
0.25,164.0625,0.25,0.25,1,0.476013148,423,0,0,0.272727272727273,0.136363636363636,0.0454545454545455,0.272727272727273,0,0.681818181818182,0.227272727272727,0.0909090909090909,0.054
0.25,164.0625,0.25,0.25,1,0.537740966,459,0.0434782608695652,0,0.0869565217391304,0.260869565217391,0.0869565217391304,0.217391304347826,0.130434782608696,0.565217391304348,0.260869565217391,0.0434782608695652,0
0.25,164.0625,0.25,0.25,1,0.577500197,638,0,0.6,0.4,0,0,0,0.4,0.6,0,0,0.6
0.25,164.0625,0.25,0.25,1,0.408581063,820,0,0,0,0,0,0,0,0,0,0,0
0.25,164.0625,0.25,0.25,1,0.45252079,546,0,0.105263157894737,0.263157894736842,0.210526315789474,0.105263157894737,0.210526315789474,0.105263157894737,0.684210526315789,0,0.105263157894737,3.302
0.25,164.0625,0.25,0.25,1,0.512330888,478,0,0,0,1,0,0,0,1,0,0,0
0.25,164.0625,0.25,0.25,1,0.556190597,336,0,0,0,0.2,0.4,0.4,0,0.6,0.2,0.2,1.911
0.25,164.0625,0.25,0.25,1,0.599411423,404,0.0769230769230769,0.153846153846154,0.0769230769230769,0.0769230769230769,0.153846153846154,0.153846153846154,0.0769230769230769,0.461538461538462,0.230769230769231,0.230769230769231,1.837
0.25,164.0625,0.25,0.25,1,0.474587254,503,0,1,0,0,0,0,0,1,0,0,0
0.25,164.0625,0.25,0.25,1,0.592261355,415,0,0,0,0.4,0.2,0,0,0.2,0,0.6,0
0.25,164.0625,0.25,0.25,1,0.491844746,531,0,1,0,0,0,0,0,1,0,0,0
0.25,164.0625,0.25,0.25,1,0.510246648,468,0.0714285714285714,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,0.0714285714285714,0.0714285714285714,0.428571428571429,0.357142857142857,0.142857142857143,0.284
0.25,164.0625,0.25,0.25,1,0.544188186,842,0,0,0,0,0,0,1,0,0,0,0
0.25,164.0625,0.25,0.25,1,0.547407449,417,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.5,0,0.1,0.7
0.25,164.0625,0.25,0.25,1,0.548234289,425,0,0,0.111111111111111,0.333333333333333,0.333333333333333,0.111111111111111,0,0.777777777777778,0.222222222222222,0,0.977
0.25,164.0625,0.25,0.25,1,NA,NA,0,0,0.333333333333333,0.333333333333333,0,0,0,0.666666666666667,0.333333333333333,0,NA
