id	task	Y.1	ChoiceSet.1	Wetland.1	Payment.1	Covercrop.1	NuMgt.1	Y.2	ChoiceSet.2	Wetland.2	Payment.2	Covercrop.2	NuMgt.2	Choice	income	areaf	demPrez16	dem_2018	unemploy	costlive	hrwage	taxcost	cashrent	crp2018	landvalu	impstrea	implakes	impwetl	imptotal	childcar	foodcost	healthc	housecos	othercos	convCS	corn
6967500969	1	1	2	1	600	1	1	0	2	0	0	0	0	1	6	3	0	0	3.9	44714	14.33	428	195	202	7136	28.1	81	0	3	204	769	417	698	429	1	1
6967500969	2	1	2	0	50	1	0	0	2	0	0	0	0	1	6	3	0	0	3.9	44714	14.33	428	195	202	7136	28.1	81	0	3	204	769	417	698	429	1	1
6967500969	3	0	2	1	650	0	0	1	2	0	0	0	0	2	6	3	0	0	3.9	44714	14.33	428	195	202	7136	28.1	81	0	3	204	769	417	698	429	1	1
6967500969	4	0	2	0	25	0	1	1	2	0	0	0	0	2	6	3	0	0	3.9	44714	14.33	428	195	202	7136	28.1	81	0	3	204	769	417	698	429	1	1
6967500969	5	1	2	1	500	1	1	0	2	0	0	0	0	1	6	3	0	0	3.9	44714	14.33	428	195	202	7136	28.1	81	0	3	204	769	417	698	429	1	1
6967500969	6	0	2	0	450	0	1	1	2	0	0	0	0	2	6	3	0	0	3.9	44714	14.33	428	195	202	7136	28.1	81	0	3	204	769	417	698	429	1	1
6967500969	7	1	2	0	150	1	0	0	2	0	0	0	0	1	6	3	0	0	3.9	44714	14.33	428	195	202	7136	28.1	81	0	3	204	769	417	698	429	1	1
6967500969	8	0	2	1	200	0	0	1	2	0	0	0	0	2	6	3	0	0	3.9	44714	14.33	428	195	202	7136	28.1	81	0	3	204	769	417	698	429	1	1
6966018516	1	1	2	1	600	1	1	0	2	0	0	0	0	1	3	1	0	1	4.7	45944	14.73	459	217	219	6966	243.6	0	0	31	224	770	417	698	429	1	1
6966018516	2	1	2	0	50	1	0	0	2	0	0	0	0	1	3	1	0	1	4.7	45944	14.73	459	217	219	6966	243.6	0	0	31	224	770	417	698	429	1	1
6966018516	3	0	2	1	650	0	0	1	2	0	0	0	0	2	3	1	0	1	4.7	45944	14.73	459	217	219	6966	243.6	0	0	31	224	770	417	698	429	1	1
6966018516	4	0	2	0	25	0	1	1	2	0	0	0	0	2	3	1	0	1	4.7	45944	14.73	459	217	219	6966	243.6	0	0	31	224	770	417	698	429	1	1
6966018516	5	1	2	1	500	1	1	0	2	0	0	0	0	1	3	1	0	1	4.7	45944	14.73	459	217	219	6966	243.6	0	0	31	224	770	417	698	429	1	1
6966018516	6	1	2	0	450	0	1	0	2	0	0	0	0	1	3	1	0	1	4.7	45944	14.73	459	217	219	6966	243.6	0	0	31	224	770	417	698	429	1	1
6966018516	7	1	2	0	150	1	0	0	2	0	0	0	0	1	3	1	0	1	4.7	45944	14.73	459	217	219	6966	243.6	0	0	31	224	770	417	698	429	1	1
6966018516	8	0	2	1	200	0	0	1	2	0	0	0	0	2	3	1	0	1	4.7	45944	14.73	459	217	219	6966	243.6	0	0	31	224	770	417	698	429	1	1
6954002510	1	1	2	1	600	1	1	0	2	0	0	0	0	1	1	1	1	1	3.1	64137	20.56	860	76	76	18090	31.3	1071	0	22	707	784	486	1113	555	0	0
6954002510	2	1	2	0	50	1	0	0	2	0	0	0	0	1	1	1	1	1	3.1	64137	20.56	860	76	76	18090	31.3	1071	0	22	707	784	486	1113	555	0	0
6954002510	3	0	2	1	650	0	0	1	2	0	0	0	0	2	1	1	1	1	3.1	64137	20.56	860	76	76	18090	31.3	1071	0	22	707	784	486	1113	555	0	0
6954002510	4	1	2	0	25	0	1	0	2	0	0	0	0	1	1	1	1	1	3.1	64137	20.56	860	76	76	18090	31.3	1071	0	22	707	784	486	1113	555	0	0
6954002510	5	0	2	1	500	1	1	1	2	0	0	0	0	2	1	1	1	1	3.1	64137	20.56	860	76	76	18090	31.3	1071	0	22	707	784	486	1113	555	0	0
