County_resident,taxcost,implakes,dflall,County,CRP Regular Rental Rate
Jackson,428.0,81.0,0.47950727600000004,Jackson,202.0
Jackson,428.0,81.0,0.47950727600000004,Jackson,202.0
Jackson,428.0,81.0,0.47950727600000004,Jackson,202.0
Jackson,428.0,81.0,0.47950727600000004,Jackson,202.0
Jackson,428.0,81.0,0.47950727600000004,Jackson,202.0
Jackson,428.0,81.0,0.47950727600000004,Jackson,202.0
Jackson,428.0,81.0,0.47950727600000004,Jackson,202.0
Jackson,428.0,81.0,0.47950727600000004,Jackson,202.0
Jackson,428.0,81.0,0.47950727600000004,Jackson,202.0
Jackson,428.0,81.0,0.47950727600000004,Jackson,202.0
Jackson,428.0,81.0,0.47950727600000004,Jackson,202.0
Jackson,428.0,81.0,0.47950727600000004,Jackson,202.0
Jackson,428.0,81.0,0.47950727600000004,Jackson,202.0
Jackson,428.0,81.0,0.47950727600000004,Jackson,202.0
Jackson,428.0,81.0,0.47950727600000004,Jackson,202.0
Jackson,428.0,81.0,0.47950727600000004,Jackson,202.0
Renville,459.0,0.0,0.537740966,Renville,219.0
Renville,459.0,0.0,0.537740966,Renville,219.0
Renville,459.0,0.0,0.537740966,Renville,219.0
Renville,459.0,0.0,0.537740966,Renville,219.0
Renville,459.0,0.0,0.537740966,Renville,219.0
Renville,459.0,0.0,0.537740966,Renville,219.0
Renville,459.0,0.0,0.537740966,Renville,219.0
Renville,459.0,0.0,0.537740966,Renville,219.0
Renville,459.0,0.0,0.537740966,Renville,219.0
Renville,459.0,0.0,0.537740966,Renville,219.0
Renville,459.0,0.0,0.537740966,Renville,219.0
Renville,459.0,0.0,0.537740966,Renville,219.0
Renville,459.0,0.0,0.537740966,Renville,219.0
Renville,459.0,0.0,0.537740966,Renville,219.0
Renville,459.0,0.0,0.537740966,Renville,219.0
Renville,459.0,0.0,0.537740966,Renville,219.0
Hennepin,860.0,1071.0,0.666003954,Hennepin,131.0
Hennepin,860.0,1071.0,0.666003954,Hennepin,131.0
Hennepin,860.0,1071.0,0.666003954,Hennepin,131.0
Hennepin,860.0,1071.0,0.666003954,Hennepin,131.0
Hennepin,860.0,1071.0,0.666003954,Hennepin,131.0
Hennepin,860.0,1071.0,0.666003954,Hennepin,131.0
Hennepin,860.0,1071.0,0.666003954,Hennepin,131.0
Hennepin,860.0,1071.0,0.666003954,Hennepin,131.0
