County_resident,taxcost,implakes,dflall
Jackson,428,81,0.479507276
Jackson,428,81,0.479507276
Jackson,428,81,0.479507276
Jackson,428,81,0.479507276
Jackson,428,81,0.479507276
Jackson,428,81,0.479507276
Jackson,428,81,0.479507276
Jackson,428,81,0.479507276
Jackson,428,81,0.479507276
Jackson,428,81,0.479507276
Jackson,428,81,0.479507276
Jackson,428,81,0.479507276
Jackson,428,81,0.479507276
Jackson,428,81,0.479507276
Jackson,428,81,0.479507276
Jackson,428,81,0.479507276
Renville,459,0,0.537740966
Renville,459,0,0.537740966
Renville,459,0,0.537740966
Renville,459,0,0.537740966
Renville,459,0,0.537740966
Renville,459,0,0.537740966
Renville,459,0,0.537740966
Renville,459,0,0.537740966
Renville,459,0,0.537740966
Renville,459,0,0.537740966
Renville,459,0,0.537740966
Renville,459,0,0.537740966
Renville,459,0,0.537740966
Renville,459,0,0.537740966
Renville,459,0,0.537740966
Renville,459,0,0.537740966
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Yellow Medicine,425,977,0.548234289
Yellow Medicine,425,977,0.548234289
Yellow Medicine,425,977,0.548234289
Yellow Medicine,425,977,0.548234289
Yellow Medicine,425,977,0.548234289
Yellow Medicine,425,977,0.548234289
Yellow Medicine,425,977,0.548234289
Yellow Medicine,425,977,0.548234289
Yellow Medicine,425,977,0.548234289
Yellow Medicine,425,977,0.548234289
Yellow Medicine,425,977,0.548234289
Yellow Medicine,425,977,0.548234289
Yellow Medicine,425,977,0.548234289
Yellow Medicine,425,977,0.548234289
Yellow Medicine,425,977,0.548234289
Yellow Medicine,425,977,0.548234289
Brown,394,2004,0.473061071
Brown,394,2004,0.473061071
Brown,394,2004,0.473061071
Brown,394,2004,0.473061071
Brown,394,2004,0.473061071
Brown,394,2004,0.473061071
Brown,394,2004,0.473061071
Brown,394,2004,0.473061071
Brown,394,2004,0.473061071
Brown,394,2004,0.473061071
Brown,394,2004,0.473061071
Brown,394,2004,0.473061071
Brown,394,2004,0.473061071
Brown,394,2004,0.473061071
Brown,394,2004,0.473061071
Brown,394,2004,0.473061071
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Watonwan,417,700,0.547407449
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Cottonwood,415,1242,0.487624918
Cottonwood,415,1242,0.487624918
Cottonwood,415,1242,0.487624918
Cottonwood,415,1242,0.487624918
Cottonwood,415,1242,0.487624918
Cottonwood,415,1242,0.487624918
Cottonwood,415,1242,0.487624918
Cottonwood,415,1242,0.487624918
Cottonwood,415,1242,0.487624918
Cottonwood,415,1242,0.487624918
Cottonwood,415,1242,0.487624918
Cottonwood,415,1242,0.487624918
Cottonwood,415,1242,0.487624918
Cottonwood,415,1242,0.487624918
Cottonwood,415,1242,0.487624918
Cottonwood,415,1242,0.487624918
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Blue Earth,478,5253,0.597152583
Todd,503,0,0.474587254
Todd,503,0,0.474587254
Todd,503,0,0.474587254
Todd,503,0,0.474587254
Todd,503,0,0.474587254
Todd,503,0,0.474587254
Todd,503,0,0.474587254
Todd,503,0,0.474587254
Todd,503,0,0.474587254
Todd,503,0,0.474587254
Todd,503,0,0.474587254
Todd,503,0,0.474587254
Todd,503,0,0.474587254
Todd,503,0,0.474587254
Todd,503,0,0.474587254
Todd,503,0,0.474587254
Le Sueur,579,5867,0.504071303
Le Sueur,579,5867,0.504071303
Le Sueur,579,5867,0.504071303
Le Sueur,579,5867,0.504071303
Le Sueur,579,5867,0.504071303
Le Sueur,579,5867,0.504071303
Le Sueur,579,5867,0.504071303
Le Sueur,579,5867,0.504071303
Le Sueur,579,5867,0.504071303
Le Sueur,579,5867,0.504071303
Le Sueur,579,5867,0.504071303
Le Sueur,579,5867,0.504071303
Le Sueur,579,5867,0.504071303
Le Sueur,579,5867,0.504071303
Le Sueur,579,5867,0.504071303
Le Sueur,579,5867,0.504071303
Douglas,459,10017,0.477512787
Douglas,459,10017,0.477512787
Douglas,459,10017,0.477512787
Douglas,459,10017,0.477512787
Douglas,459,10017,0.477512787
Douglas,459,10017,0.477512787
Douglas,459,10017,0.477512787
Douglas,459,10017,0.477512787
Douglas,459,10017,0.477512787
Douglas,459,10017,0.477512787
Douglas,459,10017,0.477512787
Douglas,459,10017,0.477512787
Douglas,459,10017,0.477512787
Douglas,459,10017,0.477512787
Douglas,459,10017,0.477512787
Douglas,459,10017,0.477512787
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
Hennepin,860,1071,0.666003954
