ID,County_resident,County_land,scenic_concern,scenic_moderate,scenic_major,nutrient_concern,nutrient_moderate,nutrient_major,habitat_concern,habitat_moderate,habitat_major,sediment_concern,sediment_moderate,sediment_major,recreation_concern,recreation_moderate,recreation_major,val_know_conservation,val_undue_blame,val_water_important,val_land_regulate,val_water_problem,val_payment_important,val_together,val_staff,val_steward,val_influence,gender,age,education,income,incomefromfarming,landarea,majorityland,primaryrotation,work_2017,pollution_obs,familiar_25,others_wetland,others_covercrop,others_NM,past_crp,past_fcp,past_mci,past_oneseason,past_longterm,past_gcdt,past_gcsv,now_crp,now_eqip,now_fcsv,now_csp,practice_gd,practice_mintill,practice_rb,practice_rp,obs_sediment,obs_nutrients,obs_odor,obs_trash,obs_lackfish,obs_unsafeswim,obs_color,obs_unsafedrink,op_wetland_familiar,op_wetland_costR,op_wetland_control,op_wetland_equipment,op_wetland_costM,op_wetland_habitat,op_wetland_soil,op_covercrop_familiar,op_covercrop_RP,op_covercrop_timeP,op_covercrop_timeH,op_covercrop_RS,op_covercrop_IS,op_covercrop_LN,op_NM_familiar,op_NM_RS,op_NM_RL,op_NM_IS,op_NM_RF,op_NM_cost,op_wetland_open,op_wetland_restored,op_covercrop_open,op_covercrop_plant,op_NM_open,ac_fish,ac_swim,ac_explore,ac_kayak,ac_hunt,ac_hike,ac_bike,ac_picnic,ac_horse_ride,ac_go_off_roading,spt_landowners,spt_farm_manager,spt_renters,spt_govstaff,spt_mrbboard,info_NRCS,info_FSA,info_CES,info_mediaL,info_Specialists,info_SFDealer,info_MDealer,info_Neighbor_Friends,info_SCDC,info_VAI,info_Private_Consultants,info_NPO,info_mediaN,Prefer_Field_demo,Prefer_Internet,Prefer_County_meeting,Prefer_Television,Prefer_Magazines,Prefer_Radio,Prefer_Printed,Prefer_Visual,Prefer_On_farm_consul,Prefer_Trade_shows,dem_president_2016,dem_2018,unemploymentrate,Yearly.Cost,Hourly.Wage,av_monthly_Child.Care,av_monthly_Food,av_montly_Health.Care,av_monthly_Housing,av_monthly_Transport,av_monthly_Other,av_monthly_Taxes,farmsize,farmsize_share_scale,landvalue_peracre,cashrental_peracre,crp2018,Stream_miles,Stream_records,Lake_acres,Lake_records,Wetland_acres,Wetland_records,total_impaired,water_impaired
6967500969,Jackson,Jackson,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,2,4,4,5,3,1,3,5,6,4,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,0,0,0,1,0,0,0,0,3,3,4,4,3,1,4,5,1,1,1,5,1,3,2,3,3,4,4,3,3,2,1,2,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,3.9,44714,14.33,204,769,417,698,781,429,428,406642,1.609173061,7136,195,202,28.1,2,81,1,0,0,3,1
6966018516,Renville,Renville,1,2,2,1,1,2,1,1,1,1,1,1,2,2,2,4,5,5,2,3,4,4,4,4,4,1,2,3,3,4,1,1,1,1,2,3,2,1,1,1,1,1,0,0,1,1,2,2,2,1,2,2,2,2,0,0,0,1,0,0,0,0,1,5,5,5,5,2,2,5,3,3,3,5,5,3,4,2,2,3,4,3,2,3,1,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,4.7,45944,14.73,224,770,417,698,832,429,459,577851,0.228668525,6966,217,219,243.6,31,0,0,0,0,31,1
6954002510,Hennepin,Mille Lacs,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,4,4,4,4,2,4,4,4,4,4,4,4,4,1,4,1,1,1,1,1,5,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,5,4,5,5,4,3,3,4,4,5,4,4,4,1,3,3,3,2,5,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3.1,64137,20.56,707,784,486,1113,840,555,860,46613,0.184458034,18090,76,76,31.3,6,1071,16,0,0,22,1
6954000142,Watonwan,Watonwan,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,5,5,4,4,5,5,5,3,1,3,1,6,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,1,0,0,1,0,0,0,0,1,3,3,3,4,4,4,4,2,3,2,4,4,4,3,3,3,3,3,3,2,3,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4.5,44271,14.19,189,749,417,698,796,423,417,254414,1.006772923,6510,215,213,207.9,21,700,3,0,0,24,1
6952091365,Yellow Medicine,Yellow Medicine,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,4,5,4,1,1,3,4,4,4,3,1,2,2,4,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,1,3,3,5,3,1,3,2,2,5,3,4,3,3,3,2,3,1,3,3,1,3,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.6,44597,14.29,190,775,417,698,781,430,425,439237,1.738158743,5444,183,183,303.4,18,977,3,7.81,1,22,1
6950969532,Brown,Brown,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4,3,1,3,2,3,3,2,1,1,1,3,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,1,4,4,4,4,4,4,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3.8,43375,13.9,233,756,417,698,692,425,394,348004,1.37712942,6875,207,197,229.6,18,2004,2,0,0,20,1
6950966877,Watonwan,Watonwan,4,4,4,4,4,4,4,3,3,4,3,3,4,3,4,4,5,4,3,4,3,4,4,4,4,1,3,3,4,4,2,1,1,1,3,2,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,0,0,0,1,0,0,0,0,3,3,4,2,2,4,4,2,3,3,4,4,4,4,4,2,2,5,5,2,1,3,1,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,4.5,44271,14.19,189,749,417,698,796,423,417,254414,1.006772923,6510,215,213,207.9,21,700,3,0,0,24,1
6950963846,Blue Earth,Blue Earth,4,4,5,4,4,4,4,4,5,4,4,3,4,4,4,4,3,5,3,4,4,4,4,4,3,2,3,2,2,2,1,3,7,7,1,NA,1,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,3,2,2,2,2,4,4,2,2,3,3,4,4,3,1,3,3,4,4,3,1,2,1,3,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,3,47201,15.13,237,746,417,874,707,474,478,381661,1.510317674,7565,215,232,344.4,32,5253,10,0,0,42,1
6949522020,Cottonwood,Cottonwood,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,1,1,3,3,3,5,3,1,4,2,NA,5,4,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,0,0,0,0,0,0,0,0,1,5,5,5,5,1,1,3,3,5,5,2,3,1,3,3,3,3,3,3,2,3,1,2,3,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,44199,14.17,208,760,417,698,759,426,415,371646,1.470686086,7059,184,202,165.2,11,1242,8,0,0,19,1
6949520595,Blue Earth,Blue Earth,1,3,1,1,3,2,1,1,1,1,1,1,1,1,1,4,5,4,2,2,1,3,4,4,3,1,3,2,5,4,3,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,0,0,0,1,0,0,0,0,1,3,3,2,2,2,2,2,2,3,3,4,4,3,1,3,3,3,3,3,2,3,1,3,3,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,3,47201,15.13,237,746,417,874,707,474,478,381661,1.510317674,7565,215,232,344.4,32,5253,10,0,0,42,1
